Student_ID,Disciplinary_Incidents,Interactions_with_Peers,Participation_in_Events,Engagement_in_Extracurriculars
dd89819c-c803-46fd-90c0-5d077f388d87,1,39,2,0.9469685000290742
2db28777-6da3-43c0-be5d-8d0511272e30,3,16,0,0.49964072300183293
69f27f94-99a5-4e2b-b4c6-bf5ac5aeb200,4,12,0,0.8101458487437901
837b56d3-430b-4d68-82d2-99c0489ecebd,1,41,0,0.5429508837845403
a9ec2254-34d3-4d7a-9c4a-808ac60ff9ab,2,14,1,0.5239770913231728
090714fe-1d8f-4741-bfbd-f8a371d8229f,1,25,0,0.23330465922667815
581cd6cc-bbd4-4de3-a3a4-8bcae8ab803f,3,45,0,0.8660796498537275
db03aa12-224f-45e7-a529-6d05153b55b8,3,49,0,0.17051975249287116
628ff5af-f14b-49b3-bcd9-a912377950d1,2,46,0,0.37923498518773735
0f624936-2733-48da-845e-7796a21bb8e8,3,33,2,0.7061212645481615
8286774c-973f-4790-b605-aa8c022dbdee,0,35,2,0.5565317957272269
cef1e10f-e7ce-481e-9edb-6f32c5e8f881,4,44,1,0.8932404942743826
3a4e7d69-6457-4499-8d14-12ce3982f0a5,2,11,2,0.13536815750912434
bb226c58-f708-405f-bc59-6dd53e3d0a6e,2,38,2,0.6844667675497572
60489568-32fd-47cf-a90e-4f04a1d448b3,1,38,2,0.5297189235644124
e86e1d96-6284-4918-93f8-30544b6e4f78,2,34,2,0.23888064112088586
379c4711-dd40-4035-96d2-ad78006ad335,4,8,2,0.7689267164013341
fdbde3ac-fdcd-4cfd-b5c2-a18c2b7e1b9a,0,45,0,0.47017616986542154
d4aeb74d-9152-4fc8-9536-506c028519b9,1,34,1,0.5784237138130152
7d566350-3804-4885-9ecf-7833311bd61d,4,29,2,0.9705394597267974
0c450b87-fa21-4f3e-8193-cc8121f15881,2,18,2,0.5376070729226697
8bd69e38-2661-4e85-9b84-4b586e0c2acb,3,28,1,0.8410355790027785
b3501463-a1ec-4438-98d6-d23d5922134e,3,47,2,0.7926197710071199
e24209f9-bdd3-4313-ad99-71111056efc4,4,35,2,0.6964791323624191
d777ce28-2679-4ed8-bfe5-dd5999e6da17,0,43,1,0.9071309290153002
e443f48e-f12e-4799-9932-4f54272af600,3,32,0,0.3264414822434628
451df54b-12d4-4aad-9d11-dcaa6196e48e,4,29,0,0.8386941083208969
84c83630-746c-479a-9acd-9bae58adb238,1,23,1,0.44000873955760833
d47e82ca-3e6f-415f-b5ee-a6bfeb14716b,2,8,0,0.8312418010730992
08aaeed9-34d0-456e-a2a9-32b1cb1b3e28,0,38,0,0.54440981609096
a60d745f-7a29-41b6-8a10-537dc32fb59c,0,36,0,0.8719383276489122
924fae9b-04b3-4f5d-8796-fd9f259fa788,1,29,0,0.9053591839236876
6fc0de0c-419e-4cee-ad4b-bd83b22c386e,0,26,2,0.6378794881157039
413afc85-53ff-40d2-8cbc-e4d025fd73b8,4,32,1,0.5568642611481205
c6dda2a7-33d4-453c-afec-a0b06052bd51,0,22,0,0.8049521289991007
ae0ed686-7a61-4967-b9ce-9d98368993c8,0,11,0,0.340287582861256
219137df-7375-409a-8bca-e1c0634dbe5b,0,15,1,0.11381381312402299
32383bf1-7679-4257-960e-531b5379dc39,4,46,2,0.4663851244792926
acb99f5d-9bd5-4d8c-b9e7-05dcbc66e756,2,15,0,0.5569967196070992
b6e0e803-4bc9-4557-b0ea-f71e7364a5db,3,13,0,0.3675364474948809
1ebfb799-b874-436f-a9f2-8b52ac063cac,0,39,2,0.4450256935639907
5d080638-87ed-4ed0-a088-6d6a57d7518e,1,41,1,0.21975240962448517
0601316c-1b5b-4f9b-8d7f-883089b3bf4f,1,27,0,0.34956091303101466
dd05739d-5f6e-4c47-8d3f-ff9ffacf6b77,4,37,0,0.31608581312311623
05e01532-0d06-446e-871e-fd63591df4c1,2,5,1,0.3708881684440931
5a552d3f-9c40-4841-8793-4dac5544e6d9,0,24,2,0.36914869948658724
64d3d368-1c54-4b12-b915-d52d166909e6,4,9,1,0.6030715339428521
