Student_ID,Course_Enrollment,Class_Schedule,Extracurricular_Participation
dd89819c-c803-46fd-90c0-5d077f388d87,IT,Morning,No
2db28777-6da3-43c0-be5d-8d0511272e30,Math,Evening,Yes
69f27f94-99a5-4e2b-b4c6-bf5ac5aeb200,IT,Afternoon,No
837b56d3-430b-4d68-82d2-99c0489ecebd,Economics,Morning,Yes
a9ec2254-34d3-4d7a-9c4a-808ac60ff9ab,History,Morning,Yes
090714fe-1d8f-4741-bfbd-f8a371d8229f,Science,Morning,Yes
581cd6cc-bbd4-4de3-a3a4-8bcae8ab803f,History,Morning,No
db03aa12-224f-45e7-a529-6d05153b55b8,English,Evening,Yes
628ff5af-f14b-49b3-bcd9-a912377950d1,English,Morning,Yes
0f624936-2733-48da-845e-7796a21bb8e8,Geography,Morning,Yes
8286774c-973f-4790-b605-aa8c022dbdee,Math,Morning,No
cef1e10f-e7ce-481e-9edb-6f32c5e8f881,English,Evening,Yes
3a4e7d69-6457-4499-8d14-12ce3982f0a5,Science,Afternoon,No
bb226c58-f708-405f-bc59-6dd53e3d0a6e,Art,Evening,No
60489568-32fd-47cf-a90e-4f04a1d448b3,IT,Afternoon,No
e86e1d96-6284-4918-93f8-30544b6e4f78,IT,Afternoon,No
379c4711-dd40-4035-96d2-ad78006ad335,History,Morning,No
fdbde3ac-fdcd-4cfd-b5c2-a18c2b7e1b9a,Art,Afternoon,Yes
d4aeb74d-9152-4fc8-9536-506c028519b9,English,Morning,Yes
7d566350-3804-4885-9ecf-7833311bd61d,History,Morning,No
0c450b87-fa21-4f3e-8193-cc8121f15881,Economics,Evening,Yes
8bd69e38-2661-4e85-9b84-4b586e0c2acb,Science,Morning,Yes
b3501463-a1ec-4438-98d6-d23d5922134e,Art,Morning,Yes
e24209f9-bdd3-4313-ad99-71111056efc4,Science,Afternoon,No
d777ce28-2679-4ed8-bfe5-dd5999e6da17,English,Evening,No
e443f48e-f12e-4799-9932-4f54272af600,Science,Evening,Yes
451df54b-12d4-4aad-9d11-dcaa6196e48e,IT,Afternoon,No
84c83630-746c-479a-9acd-9bae58adb238,IT,Evening,No
d47e82ca-3e6f-415f-b5ee-a6bfeb14716b,IT,Morning,No
08aaeed9-34d0-456e-a2a9-32b1cb1b3e28,English,Afternoon,No
